                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.7695,                  9.785,                  4.284,                0.00056,                0.17778,                  0.002,                0.00078,                 3.8743,                 5.8538,                 4.1567,                0.00034,                0.00034,                0.00034
                      1,                 3.8909,                 6.6745,                 4.1032,                0.00054,                0.17778,                0.00089,                0.00037,                 3.8788,                 5.3877,                 4.1662,             0.00068614,             0.00068614,             0.00068614
                      2,                 3.2827,                 5.5731,                 3.5069,                0.00109,                0.13333,                0.00146,                0.00064,                 3.8011,                 4.8972,                 4.1109,               0.001018,               0.001018,               0.001018
                      3,                 2.6276,                 4.5011,                 2.8772,                0.00106,                0.12593,                0.00091,                 0.0004,                 3.8122,                 4.9923,                 4.2044,              0.0013357,              0.0013357,              0.0013357
                      4,                 2.4892,                 3.8025,                 2.5457,                0.00792,                0.38519,                 0.0207,                0.00674,                 2.9983,                 4.2751,                 4.7508,               0.001639,               0.001639,               0.001639
                      5,                 2.3249,                 3.3959,                 2.3394,                0.42975,                0.18983,                0.17545,                 0.0627,                 2.2516,                 4.3663,                 3.2441,               0.001802,               0.001802,               0.001802
                      6,                 2.1966,                 3.0223,                 2.1808,                0.33965,                0.32593,                 0.2194,                0.06708,                 2.1861,                   7.34,                 2.8756,               0.001802,               0.001802,               0.001802
                      7,                 2.1562,                 2.6851,                 2.1061,                0.04039,                 0.5037,                0.03588,                0.01347,                 2.2505,                 143.66,                 4.2487,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.1404,                 2.5131,                 2.0881,                0.00354,                0.37037,                0.00248,                0.00101,                 2.4948,                  890.1,                 5.2188,              0.0017228,              0.0017228,              0.0017228
                      9,                  2.072,                 2.4362,                 2.0086,                 0.6336,                0.25926,                0.27752,                0.14087,                 2.1393,                 3.9028,                 5.4288,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.9468,                 2.2208,                 1.8604,                0.43599,                0.22963,                0.24547,                0.13633,                 2.0995,                 3.1218,                 3.3016,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.9263,                   2.09,                 1.8585,                0.69464,                0.45926,                0.49892,                0.23026,                 1.8498,                 2.3513,                 2.2881,               0.001604,               0.001604,               0.001604
                     12,                 1.8916,                 2.0655,                 1.7944,                0.58151,                0.43704,                0.42069,                0.12574,                 2.2382,                 3.3661,                 2.6444,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.0197,                 2.1069,                 1.8199,                0.79019,                0.37778,                0.46347,                0.27302,                 1.6452,                 2.5351,                 2.0628,              0.0015248,              0.0015248,              0.0015248
